Player,Current Team,Minutes,Non Penalty xG,Non Penalty xG/Shot,Open Play xG Assisted,Shots,OBV,Shot OBV,Dribble & Carry OBV,Defensive Action OBV,Pass OBV,Deep Progressions,Touches in box,Line Breaking Passes,Line Breaking Passes Completed,Line Breaking Passes Completed%,Line Breaking Passes On Ball Value,Ball Receipts in Space 10m%,Turnovers,Fouls,Fouls Won,Aerial Win%,Aerial Wins,Pressures,Tackles & Interceptions,Dribbled Past,Goal Kicks,Goals Saved Above Average,Long Goal Kicks,Non Penalty PSxG Faced,Non Penalty Save%,Non Penalty Shots Faced,Penalty Goals Conceded,Penalties Faced,Saves,Short Goal Kicks,Shot Stopping%,Shots Faced,Box Cross%,Ball Receipts in Space 10m% in Final Third,Ball Receipts in Space 10m% in Opposing Half,Ball Receipts in Space 2m%,Ball Receipts in Space 2m% in Final Third,Ball Receipts in Space 2m% in Opposing Half,Ball Receipts in Space 5m%,Ball Receipts in Space 5m% in Final Third,Ball Receipts in Space 5m% in Opposing Half,Carries,Carry Length,Clearances,Dispossessed,Dribble%,Dribbles,Errors,Failed Dribbles,Open Play Box Cross%,Penalty Wins,Space Received In,Space Received in Final Third,Space Received in Opposing Half,Successful Box Cross%,Successful Open Play Box Cross%,Touches,Goalkeeper OBV,Second Yellow Cards,Aggressive Actions,All Aerials,Ball Recoveries,Ball Recoveries in Opposing Half,Blocked Shots,Blocks/Shot,Counterpressures,Counterpressures in Opposing Half,Counterpressures in Opposing Half%,Defensive Action Distance,Goalkeeper Aggressive Distance,Goals Conceded,Interceptions,Non Aerial Duels,Non Penalty Goals Conceded,Non Penalty xG Faced,Opposition Non Penalty Shots on Target,Opposition Non Penalty Shots on Target%,Opposition Shots Outside Box,Pressures in Opposing Half,Pressures in Opposing Half%,Red Cards,Tack/Dribbled Past%,Tackles,Yellow Cards,Assists,Crosses,Crossing%,Deep Completions,Key Passes,Left To Right Footedness%,Line Breaking Passes Completed in Final Third,Line Breaking Passes Completed in Final Third%,Line Breaking Passes Completed in Opposing Half,Line Breaking Passes Completed in Opposing Half%,Line Breaking Passes Distance,Line Breaking Passes Distance in Final Third,Line Breaking Passes Distance in Opposing Half,Line Breaking Passes in Final Third,Line Breaking Passes in Opposing Half,Line Breaking Passes On Ball Value in Final Third,Line Breaking Passes On Ball Value in Opposing Half,Line Breaking Passes Received,Line Breaking Passes to Space 10m,Line Breaking Passes to Space 10m in Final Third,Line Breaking Passes Received 10m in Opposing Half,Line Breaking Passes Received 2m,Line Breaking Passes Received 2m in Final Third,Line Breaking Passes Received 2m in Opposing Half,Line Breaking Passes Received 5m,Line Breaking Passes Received 5m in Final Third,Line Breaking Passes Received 5m in Opposing Half,Line Breaking Passes Received Distance,Line Breaking Passes Received Distance in Final Third,Line Breaking Passes Received Distance in Opposing Half,Line Breaking Passes Received in Final Third,Line Breaking Passes Received in Opposing Half,Line Breaking Passes to Space 10m,Line Breaking Passes to Space 10m in Final Third,Line Breaking Passes to Space 10m in Opposing Half,Line Breaking Passes to Space 2m,Line Breaking Passes to Space 2m in Final Third,Line Breaking Passes to Space 2m in Opposing Half,Line Breaking Passes to Space 5m,Line Breaking Passes to Space 5m in Final Third,Line Breaking Passes to Space 5m in Opposing Half,Line Breaking Passes/Pass in Final Third%,Line Breaking Passes/Pass in Opposing Half%,Line Breaking Passes/Pass%,Long Ball%,Long Balls,Non Throw-in Key Passes,Non Throw-in Passes,Non Throw-in Passes from Defensive Third,Non Throw-in Passes Into Final Third ,Non Throw-in Through Balls,Open Play Assists,Open Play Key Passes,Open Play Pass Backward% in Final Third,Open Play Pass Forward% in Final Third,Open Play Pass Sideways% in Final Third,Open Play Passes,Open Play Passes in Final Third,Open Play Passes Into Box,Pass Backward%,Pass Forward%,Pass Length,Pass Sideways%,Passes,Passes Inside Box,Passes Into Box,Passes Being Pressured%,Passing%,Pressured Long Balls,Pressured Pass Length,Pressured Passes in Defensive Third,Pressured Pass%,Received Passes,Successful Open Play Pass Backward% in Final Third,Successful Open Play Pass Forward% in Final Third,Successful Open Play Pass Sideways% in Final Third,Successful Open Play Passes in Final Third,Successful Open Play Passes Into Box,Successful Pass Length,Successful Passes Inside Box,Successful Passes Into Box,Successful Pressured Pass Length,Successful Set Piece Passes Into Box,Successful Through Balls,Successful Crosses,Successful Passes,Through Balls,Unpressured Long Balls,Corners,Free Kicks,Free Kicks from Defensive Third,Free Kicks from Final Third,Free Kicks from Middle Third,Penalties,Penalty Conversion%,Set Piece Assists,Set Piece Key Passes,Set Piece Passes Into Box,Set Piece xG Assisted,Throw-ins,Throw-Ins from Defensive Third,Throw-Ins from Final Third,Throw-Ins from Middle Third,Goal Conversion%,Goals & Penalty Goals,Non Penalty Goals,Non Penalty PSxG,Non Penalty Shots,Open Play Shots,Shooting%,Shot Touch%,Shots Outside Box,Successful Dribbles,xG,xG Assisted,Age
Héctor Bellerín,Real Betis,658.1626,0.02,0.1469,0.1909,0.1367,0.4932,0.0761,0.0258,0.1179,0.2412,2.4613,2.7348,8.4781,4.9227,0.5806,0.0221,0.2884,1.0939,0.8204,0.1367,0.5384,0.9572,8.8883,3.4186,1.2306,0,0.538,0,1.2218,0.8148,11.6232,0.1367,0.1367,0,0,0.1457,11.76,0.3636,0.1458,0.1494,0.9567,0.9583,0.9425,0.7548,0.6666,0.6666,32.1349,3.651,2.3246,0.2734,0.5714,0.9572,0,0.4102,0.3636,0,8.2316,6.9771,6.9003,0.25,0.25,87.6531,0,0,4.786,1.7776,1.3674,0.9572,0.5469,0.047,3.9655,1.9144,0.4827,43.5123,,0.8204,1.3674,2.0511,0.6837,1.1395,3.692,0.3176,4.1023,3.5553,0.4,0,0.625,3.2818,0.1367,0.2734,1.0939,0.25,0.5469,0.9572,0.0334,0.1367,0.1666,1.2306,0.5625,2.2115,0,2.1323,0.8204,2.1879,0.0093,0.0184,2.3246,0.1367,0.1367,0.1367,1.9144,1.9144,1.9144,0.8204,0.8204,0.8204,4.7188,5.1444,4.7188,2.0511,2.3246,0,0,0,3.0083,0,0.6837,0.4102,0,0.1367,0.1333,0.1777,0.2431,0.5263,2.5981,0.6837,38.9721,9.8455,3.2818,0.2734,0.2734,0.6837,0.075,0.275,0.65,38.1516,10.9395,1.5041,0.0881,0.2735,18.2399,0.6382,44.9888,1.2306,1.5041,0.1306,0.8237,0.4102,18.2895,2.8716,0.7209,33.7758,0.109,0.2545,0.6363,7.5209,0.5469,17.3787,0.5469,0.5469,18.0212,0,0.1367,0.2734,37.0577,0.2734,2.1879,0,0.8204,0.2734,0,0.5469,0,,0,0,0,0,6.0167,0.8204,3.0083,2.1879,0,0,0,0.0916,0.1367,0.1367,1,0.0015,0,0.5469,0.02,0.1909,30
Kelechi Iheanacho,Celtic,439.4467,0.3004,0.163,0.0295,1.8432,-0.0285,-0.0847,0.0345,0.0099,0.0073,1.2288,3.2768,1.8432,1.024,0.5555,0.0121,0.0508,2.048,1.024,0.2048,0.25,0.8192,11.8785,0.6144,0.4096,0,-0.3115,0,0.9172,0.647,8.6017,0,0,0,0,-0.0894,8.6017,0.5,0.0357,0.0416,0.7288,0.75,0.6875,0.2711,0.25,0.25,16.1794,4.2577,0.2048,1.2288,0.4,1.024,0,0.6144,0.5,0,4.2366,4.2115,4.0387,0.5,0.5,39.7317,0,0,5.3248,3.2768,1.4336,1.024,0,0,4.3008,2.8672,0.6666,81.78,,1.2288,0.4096,0.2048,1.2288,0.7346,3.4816,0.4047,3.072,8.8065,0.7413,0,0.3333,0.6144,0,0,0.4096,0.5,0,0.8192,0.7922,0.2048,1,0.6144,1,4.4066,5.9908,4.0261,0.2048,0.6144,0.0041,0.0086,5.3248,0.2048,0,0,3.2768,1.4336,2.4576,0.4096,0.2048,0.2048,2.9802,2.5895,2.6857,2.6624,4.5056,0,0,0,0.8192,0.2048,0.4096,0.6144,0.2048,0.4096,0.0384,0.0666,0.1304,0.75,0.8192,0.8192,15.565,1.6384,0.8192,0,0,0.8192,0.2051,0.0769,0.7179,15.1554,7.9873,0.4096,0.2857,0.0909,14.8257,0.6233,15.7698,0.2048,0.4096,0.3896,0.7662,0.4096,14.4353,1.024,0.6333,17.2034,0.2258,0.0645,0.7096,6.3488,0.4096,14.423,0,0.4096,12.3189,0,0,0.2048,12.0833,0,0.4096,0,0,0,0,0,0,,0,0,0,0,0.2048,0,0,0.2048,0,0,0,0.0439,1.8432,1.6384,0.2222,0.0463,0.4096,0.4096,0.3004,0.0295,29
Kiko Femenía,Getafe,2466.7522,0.0078,0.0716,0.0463,0.1094,0.2307,-0.0061,0.0535,0.0468,0.124,5.1809,0.7297,6.2024,3.7944,0.6117,0.0592,0.3558,0.8026,0.9121,0.5107,0.4137,0.4378,8.6469,4.1958,1.131,0,-0.1556,0,0.9024,0.7184,11.2374,0.1459,0.1824,0,0,-0.0414,11.4198,0.551,0.2116,0.3198,0.9719,0.9489,0.9682,0.8366,0.7372,0.8242,38.6378,5.8024,1.7877,0.2553,0.65,0.7297,0.1094,0.2553,0.551,0,9.0303,7.452,8.4715,0.5,0.5,104.8585,0,0,5.3268,1.058,3.6485,1.3864,0.4013,0.0357,3.3566,1.6053,0.4782,38.2394,,1.2404,2.1891,2.0066,1.058,0.9479,3.7579,0.3344,4.5606,2.408,0.2784,0,0.6395,3.1377,0.2553,0.0364,1.3864,0.3684,0.1094,0.5837,0.1037,0.8391,0.5609,1.5688,0.6142,3.7054,2.2955,3.2345,1.4958,2.5539,0.0427,0.049,0.6202,0.0729,0.0364,0.0364,0.4743,0.4013,0.4378,0.1824,0.1094,0.1459,4.5522,3.6149,3.8425,0.5472,0.5837,0.0729,0,0.0364,2.8458,0.4743,1.0945,1.204,0.1094,0.3648,0.2342,0.159,0.1465,0.6406,4.6701,0.5472,47.905,15.3237,5.1079,0.0729,0.0364,0.5472,0.0319,0.311,0.6569,46.2267,12.5509,1.7877,0.0674,0.2293,18.9775,0.7032,55.2021,0.2918,1.7877,0.0998,0.8869,0.4013,16.2894,2.5174,0.8079,38.4554,0.041,0.2835,0.6753,9.778,0.7297,18.0395,0.0729,0.7297,17.3526,0,0,0.5107,48.9631,0.0729,4.2687,0,1.6783,0.6202,0,1.058,0,,0,0,0,0,7.297,2.2255,2.1526,2.9188,0,0,0,0,0.1094,0.0729,0,0.001,0.0729,0.4743,0.0078,0.0463,34
Oriol Romeu,Southampton,1478.3314,0.0149,0.0491,0.0172,0.3043,0.0027,-0.0175,0.061,-0.0019,-0.0197,5.6009,0.3652,8.2187,5.9661,0.7259,0.0279,0.1322,0.8523,2.1307,1.3393,0.4166,0.9131,16.8636,3.3483,0.6087,0,-0.3759,0,1.2069,0.6,11.4453,0.0608,0.1217,0,0,-0.095,11.567,0.5,0.1458,0.1335,0.9544,0.9583,0.9534,0.6626,0.7812,0.6832,45.1116,5.2728,1.4611,0.8523,0.5,0.6087,0.0608,0.3043,0.5,0,6.537,7.1259,6.6288,0.6666,0.6666,113.9054,0,0,11.3844,2.1916,3.8354,1.7655,0.5479,0.0478,6.3923,3.2874,0.5142,50.5995,,1.6437,0.8523,2.496,1.5828,1.0324,3.9571,0.3457,4.7485,6.6358,0.3935,0,0.8039,3.1048,0.3043,0,0.3652,0.3333,0.1217,0.487,0.1433,1.0958,0.5294,3.4701,0.7307,4.6606,3.9865,4.3468,2.0699,4.7485,0.0102,0.0224,4.2006,0.1826,0,0,3.9571,0.1217,1.7046,2.009,0.1217,0.9131,5.0629,4.4961,4.8415,0.1826,1.8263,0.3652,0.0608,0.3043,4.9312,0.7914,2.6786,2.3134,0.3652,1.1567,0.33,0.2125,0.1662,0.7808,4.4441,0.487,54.7915,10.2886,5.6617,0.1217,0,0.487,0.0266,0.1555,0.8177,53.2695,13.6978,0.7305,0.1077,0.1211,19.2876,0.7711,54.7915,0.0608,0.7305,0.2077,0.9122,0.5479,17.8596,3.6527,0.8983,47.7903,0.0314,0.1361,0.8324,11.6279,0.1826,19.057,0.0608,0.1826,17.5822,0,0,0.1217,49.982,0.1217,3.8962,0,1.5219,0.3043,0,1.2175,0,,0,0,0,0,0,0,0,0,0,0,0,0.0043,0.3043,0.2435,0.2,0.0026,0.2435,0.3043,0.0149,0.0172,34
Oliver McBurnie,Hull City,2054.1254,0.2068,0.143,0.0952,1.4458,-0.0296,0.0306,-0.0308,0.0117,-0.0496,1.2706,7.1417,3.0669,1.1829,0.3857,0.0097,0.003,2.8041,1.4896,1.0953,0.4923,4.2499,20.7679,1.0077,0.1752,0,-0.0391,0,1.4505,0.6633,11.9174,0.0438,0.219,0,0,-0.0088,12.1365,0.1176,0,0,0.6575,0.6714,0.6601,0.203,0.1642,0.1914,12.969,4.4075,1.0515,0.92,0.4516,1.3582,0,0.7448,0.125,0,3.2622,3.0597,3.2238,0.3333,0.4,48.108,0,0,10.2963,8.6314,1.7525,1.2267,0.219,0.0183,8.1494,6.3092,0.7741,76.5409,,1.6211,0.3066,0.701,1.4896,1.3275,4.4252,0.3713,4.0747,15.2911,0.7362,0,0.8,0.8762,0.1314,0.219,0.3505,0.375,0.7886,0.92,0.0636,0.3943,0.375,0.8762,0.3636,3.3147,2.0251,2.8858,1.0515,2.4097,0.0044,0.0093,10.1649,0,0,0,6.353,2.7164,5.0824,1.6211,0.4819,1.1391,2.989,2.8787,2.9888,4.2061,7.9741,0.0876,0,0.0438,0.92,0.2628,0.6572,0.219,0,0.1314,0.2051,0.2301,0.1933,0.8,0.219,0.7448,18.3581,0.92,2.0154,0.0876,0.219,0.701,0.1481,0.2222,0.6296,17.219,8.2808,0.701,0.2075,0.1674,13.0555,0.625,18.5772,1.2267,0.7448,0.4033,0.6839,0.0438,12.8419,0.4819,0.5438,19.5849,0.209,0.1363,0.6545,4.8195,0.219,12.8623,0.5695,0.2628,13.0331,0.0438,0.0438,0.1314,12.7061,0.0876,0.1752,0,0.0438,0,0,0.0438,0,,0,0,0.0438,0,0.219,0,0.1752,0.0438,0.0909,0.1314,0.1314,0.2294,1.4458,1.0515,0.3636,0.03,0,0.6133,0.2068,0.0952,29
Allan Nyom,Getafe,1007.2079,0.0656,0.0734,0.0348,0.8935,0.0323,-0.0462,0.0304,-0.0682,0.1147,2.8593,2.3232,6.2549,2.77,0.4428,0.0644,0.2918,0.7148,1.8764,0.8935,0.3793,0.9829,10.2759,2.1445,0.1787,0,-0.0985,0,0.7949,0.6428,7.5952,0.1787,0.1787,0,0,-0.0393,7.7739,0.5416,0.1568,0.1864,0.9234,0.8627,0.8813,0.7177,0.5098,0.6271,21.5347,4.0132,1.3403,0.4467,0.6,0.8935,0,0.3574,0.619,0,7.8834,6.0071,6.6668,0.6,0.8571,64.783,0,0,5.0039,2.5913,3.7529,1.6084,0.1787,0.0235,5.9868,3.8423,0.6417,56.9581,,1.0722,0.5361,1.6084,0.8935,0.7409,2.5019,0.3294,2.2338,4.6465,0.4521,0,0.9,1.7871,0.268,0.1787,1.4296,0.5,0.3574,0.5361,0.1625,0.9829,0.5238,1.519,0.4857,2.5485,2.8701,2.6846,1.8764,3.1274,0.0499,0.0533,1.7871,0,0,0,1.0722,0.5361,0.9829,0.268,0.0893,0.1787,2.8744,2.2807,2.7167,0.9829,1.6977,0.0893,0.0893,0.0893,1.8764,0.6254,0.9829,0.268,0.1787,0.1787,0.362,0.2845,0.2573,0.4255,4.1997,0.3574,26.5387,5.8081,3.8423,0,0.1787,0.3574,0.0925,0.3703,0.537,26.0919,9.6504,1.8764,0.1101,0.2782,20.0623,0.6115,32.4362,0.3574,2.1445,0.1515,0.7961,0.6254,19.0719,1.3403,0.7454,22.0709,0.1515,0.2424,0.606,5.8974,0.6254,18.1783,0.268,0.8935,16.1699,0.268,0,0.7148,25.8238,0,3.5742,0,0.4467,0.0893,0,0.3574,0,,0,0,0.268,0,5.8974,1.2509,2.4126,2.2338,0.1,0.0893,0.0893,0.014,0.8935,0.6254,0.4,0.0137,0.268,0.5361,0.0656,0.0348,37
Sandro Ramírez,Las Palmas,2202.9484,0.1272,0.061,0.0848,2.1244,0.201,0.0221,0.0801,-0.0181,0.1167,2.1652,3.636,5.9647,2.9006,0.4863,0.0368,0.0924,2.4104,1.4707,1.9201,0.4285,0.6128,13.9313,2.2061,0.6945,0,0.0742,0,1.2998,0.7058,12.8282,0.1225,0.2042,0,0,0.0178,13.0325,0.6488,0.0921,0.0977,0.8603,0.8617,0.8659,0.4943,0.5207,0.5223,24.1857,6.0648,0.6536,1.4707,0.5476,1.7158,0.0408,0.7762,0.5178,0.0408,5.4735,5.6152,5.6668,0.6111,0.2857,65.3669,0,0,7.5171,1.4299,3.9628,2.0835,0,0,4.2079,2.778,0.6601,55.0589,,1.3481,1.0622,1.1439,1.2256,1.4134,4.1671,0.3248,4.2897,5.5153,0.3958,0,0.6222,1.8384,0.2451,0.1225,3.8403,0.2872,0.4085,1.1847,0.0551,1.103,0.4218,1.7975,0.4271,2.8101,2.3731,3.1479,2.6146,4.2079,0.0353,0.0356,4.8616,0.2042,0.1225,0.1634,3.5134,1.8384,2.5738,1.4299,0.7353,1.0213,3.97,3.9339,3.929,2.5329,3.4726,0.0408,0,0.0408,1.8384,0.6945,1.3073,0.5311,0.0817,0.3676,0.3368,0.3011,0.2579,0.337,3.636,1.0622,27.7809,3.4726,2.4104,0.1225,0.0817,0.4902,0.124,0.2299,0.6459,24.1857,11.194,2.2878,0.1436,0.1828,19.0277,0.6734,28.1486,0.817,5.3519,0.2278,0.6603,0.0817,13.5564,1.5524,0.6942,24.676,0.1781,0.2413,0.5804,7.1086,0.5719,17.4824,0.3676,1.4707,14.5593,0.8987,0.0408,1.103,18.5887,0.1225,3.5543,2.4921,1.675,0,1.1439,0.5311,0.0408,1,0.0408,0.5719,3.064,0.0414,0.3676,0.0408,0.2451,0.0817,0.1568,0.3676,0.3268,0.2191,2.0835,1.3073,0.3921,0.0325,1.2256,0.9396,0.1592,0.1263,30
Thibaut Courtois,Real Madrid,2953.6153,0,,0.0034,0,0.0609,0,0.0578,-0.0287,0.0709,0.3656,0,3.9003,1.4626,0.375,0.0206,0.8045,0,0,0.0914,,0,0.0304,0,0,4.6011,0.0837,1.9196,0.8455,0.7572,9.7507,0.0914,0.0914,2.4376,2.6814,0.0266,9.8421,0,,,0.9937,,,0.9708,,,19.9281,4.2587,0,0.0304,,0,0.0304,0,0,0,16.239,,,0,,58.8092,-0.0391,0,0.0304,0,2.7728,0,0.0304,0.0031,0,0,,2.5,10.9977,0.8836,0,0,0.7617,0.8502,3.1385,0.3218,3.4127,0,0,0,,0,0.0304,0,0,,0,0.0609,0.5609,0,,0,,4.5025,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0.1218,0,0,1.0969,0,0,0.6094,0,0,,,0.1899,0.4334,8.928,0.0609,31.0196,30.8977,2.1939,0,0,0.0304,0,0.9512,0.0487,25.4433,1.2493,0.2742,0,0.3349,31.7882,0.665,31.0196,0,0.3961,0.1728,0.833,2.59,40.1522,5.3629,0.6534,19.8976,0,0.8333,0.1666,0.1828,0,24.5204,0,0.0304,27.1122,0.0304,0,0,25.8395,0,6.3379,0,0.975,0.975,0,0,0,,0,0.0304,0.1218,0.0033,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0.0067,33
Marcos Alonso,Celta Vigo,2898.4603,0.0403,0.0419,0.0284,1.0557,0.2414,-0.0163,0.111,0.0152,0.1153,7.7937,1.8009,12.3272,8.2285,0.6675,0.0572,0.5661,0.621,1.0867,1.2109,0.6779,2.484,9.1289,2.7324,0.5589,0.2173,-0.1698,0,0.979,0.6224,8.7874,0.0621,0.0621,0,0.2173,-0.0558,8.8495,0.5205,0.2518,0.4939,0.9791,0.9037,0.9635,0.8965,0.7111,0.8603,58.1274,7.082,3.105,0.3726,0.5909,0.6831,0.0621,0.2794,0.4444,0,10.7268,7.4399,9.6752,0.4137,0.3333,148.3925,0,0.031,4.906,3.664,5.5891,1.8009,0.2173,0.0247,3.4466,1.7388,0.5045,44.6683,,1.2109,1.6146,1.1178,1.1488,0.774,3.0429,0.3462,3.2603,2.7014,0.2959,0.031,0.6666,1.6767,0.3105,0,1.273,0.317,0.0931,0.6831,0.8208,0.621,0.4878,2.7945,0.6976,3.4905,2.5188,3.0107,1.273,4.0055,0.0155,0.0288,0.9625,0.0621,0.0621,0.0621,0.652,0.5278,0.5589,0.2794,0.2794,0.2794,3.9972,4.1193,4.0862,0.8073,0.8383,0.1863,0,0,6.0549,0.4036,2.1114,2.2046,0.0621,0.5278,0.2303,0.208,0.1898,0.624,8.0111,0.6831,73.1871,24.9339,7.7627,0.0931,0,0.5589,0.0297,0.351,0.6191,70.2372,14.5939,1.6767,0.0381,0.2417,21.3952,0.7201,74.8949,0.2484,2.2667,0.1513,0.8872,0.8694,18.1839,4.5334,0.7917,59.5247,0.0379,0.3224,0.6395,11.4578,0.652,20.3573,0.0621,0.9004,17.2854,0.2484,0.031,0.4036,66.449,0.0931,7.1417,0.4657,2.484,0.9936,0.2484,1.242,0.0931,1,0,0.1242,0.5899,0.0095,1.7078,0.4968,0.4347,0.7762,0,0.0931,0,0.0463,0.9625,0.3726,0.3225,0.0071,0.4657,0.4036,0.1133,0.0379,34
Kenedy,Pachuca,19.8789,0.2318,0.0512,0,4.5274,-0.6308,-0.4954,-0.0552,0.058,-0.1382,0,18.1096,4.5274,0,0,-0.1737,0,4.5274,0,0,,0,18.1096,0,0,0,-1.4058,0,3.1215,0.5,9.0548,0,0,0,0,-0.1552,9.0548,,0,0,0.5,0,0.5,0.5,0,0.5,13.5822,3.2433,0,4.5274,0,4.5274,0,4.5274,,0,4.6364,1.4142,4.6364,,,49.8015,0,0,9.0548,0,4.5274,4.5274,0,0,13.5822,9.0548,0.6666,67.22,,4.5274,0,0,4.5274,1.7109,9.0548,1,4.5274,9.0548,0.5,0,,0,0,0,4.5274,0,0,0,0.6666,0,0,0,0,,,,4.5274,4.5274,-0.1737,-0.1737,9.0548,0,0,0,4.5274,0,4.5274,4.5274,0,4.5274,4.6364,1.4142,4.6364,4.5274,9.0548,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,4.5274,0,13.5822,0,4.5274,0,0,0,0.3333,0,0.6666,13.5822,13.5822,0,0.3333,0,28.44,0.6666,13.5822,4.5274,0,0,0.3333,0,,0,,18.1096,1,0,0,4.5274,0,5.28,0,0,,0,0,0,4.5274,0,4.5274,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,4.5274,0,0,0.0909,0,0,0.2318,0,29
