Metric Name,Short Name,Abbreviation,Metric Type,Category,Sub-Category,Definition
Average SRI,Average SRI,AvgSRI,player,360,Ball Receipts In Space,Average value of space for all ball receipts
Average SRI F2,Average SRI F2,AvgSRIF2,player,360,Ball Receipts In Space,Average value of space for all ball receipts in the opposition half of the pitch
Average SRI F3,Average SRI F3,AvgSRIF3,player,360,Ball Receipts In Space,Average value of space for all ball receipts in the final third of the pitch
BRIS 10m%,BRIS 10m%,BRIS10%,player,360,Ball Receipts In Space,Percentage of ball receipts that are made in more than 10m of space (subset of 2m & 5m category)
BRIS 2m%,BRIS 2m%,BRIS2%,player,360,Ball Receipts In Space,Percentage of ball receipts that are made in more than 2m of space
BRIS 5m%,BRIS 5m%,BRIS5%,player,360,Ball Receipts In Space,Percentage of ball receipts that are made in more than 5m of space (subset of 2m category)
BRIS F2 10m%,BRIS F2 10m%,BRIS10F2%,player,360,Ball Receipts In Space,Percentage of ball receipts in the opposition half of the pitch that are made in more than 10m of space (subset of 2m & 5m category)
BRIS F2 2m%,BRIS F2 2m%,BRIS2F2%,player,360,Ball Receipts In Space,Percentage of ball receipts in the opposition half of the pitch that are made in more than 2m of space
BRIS F2 5m%,BRIS F2 5m%,BRIS5F2%,player,360,Ball Receipts In Space,Percentage of ball receipts in the opposition half of the pitch that are made in more than 5m of space (subset of 2m category)
BRIS F3 10m%,BRIS F3 10m%,BRIS10F3%,player,360,Ball Receipts In Space,Percentage of ball receipts in the final third of the pitch that are made in more than 10m of space (subset of 2m & 5m category)
BRIS F3 2m%,BRIS F3 2m%,BRIS2F3%,player,360,Ball Receipts In Space,Percentage of ball receipts in the final third of the pitch that are made in more than 2m of space
BRIS F3 5m%,BRIS F3 5m%,BRIS5F3%,player,360,Ball Receipts In Space,Percentage of ball receipts in the final third of the pitch that are made in more than 5m of space (subset of 2m category)
LBP,LBP,LBP,player,360,Line Breaking Passes,Line Breaking Passes attempted in open play
LBP Completed,LBP Completed,LBPC,player,360,Line Breaking Passes,Line Breaking Passes completed in open play
LBP Completed %,LBP Completed %,LBPComp%,player,360,Line Breaking Passes,Percentage of Line Breaking Passes that were successful
LBP Completed F2,LBP Completed F2,LBPCompF2,player,360,Line Breaking Passes,Line Breaking Passes completed in the opposition half of the pitch in open play
LBP Completed F2%,LBP Completed F2%,LBPCompF2%,player,360,Line Breaking Passes,Percentage of Line Breaking Passes that were successful in the opposition half of the pitch
LBP Completed F3,LBP Completed F3,LBPCompF3,player,360,Line Breaking Passes,Line Breaking Passes completed in the final third of the pitch in open play
LBP Completed F3%,LBP Completed F3%,LBPCompF3%,player,360,Line Breaking Passes,Percentage of Line Breaking Passes that were successful in the final third of the pitch
LBP F2,LBP F2,LBPF2,player,360,Line Breaking Passes,Line Breaking Passes attempted in the opposition half of the pitch in open play
LBP F3,LBP F3,LBPF3,player,360,Line Breaking Passes,Line Breaking Passes attempted in the final third of the pitch in open play
LBP OBV,LBP OBV,LBPOBV,player,360,Line Breaking Passes,Pass-OBV from Line Breaking Passes
LBP OBV F2,LBP OBV F2,LBPOBVF2,player,360,Line Breaking Passes,Pass-OBV from Line Breaking Passes in opposition half
LBP OBV F3,LBP OBV F3,LBPOBVF3,player,360,Line Breaking Passes,Pass-OBV from Line Breaking Passes in final third
