Team Name,Games,Goal Difference,xG Difference w/Pen,NP Goal Difference,NP xG Difference,Goals,NP xG,xG/Shot,OP xG,Own Goals,Penalty Goals,Shots,Shot Distance,Clear Shots,Counter-attack Shots,High Press Shots,Shots Outside Box,Penalties,OP Shots,SP Goals,SP xG,SP Shots,Goals/SP,xG/SP,Shots/SP,SP,Corner Goals,Corner xG,Corner Shots,Goals/Corner,xG/Corner,Shots/Corner,Corners,DFK Goals,DFK xG,DFK Shots,Goals/DFK,xG/DFK,Shots/DFK,DFK,IFK Goals,IFK xG,IFK  Shots,Goals/IFK,xG/IFK,Shots/IFK,IFK,Throw-in Goals,Throw-in xG,Throw-in Shots,Goals/Throw-in,xG/Throw-in,Shots/Throw-in,Throw-ins,Passing%,Passes Inside Box,Deep Completions,Box Cross%,GK Long Pass%,GK Pass Length,Box Crosses,Successful Box Crosses,Successful Box Cross%,Passes,Successful Passes,OP Passes,Pace To Goal,Directness,Dribbles,Dribble%,Successful Dribbles,Failed Dribbles,Deep Progressions,PPDA,Defensive Distance,Aggression,Aggressive Actions,Defensive Regains,Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Possession%,Possessions,Ball In Play Time,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Louisville City,31,1.16,0.61,1.16,0.56,1.81,1.34,0.09,0.95,0.06,0.03,14.19,15.69,2.06,1.1,3.1,3.48,0.1,9.65,0.42,0.39,4.55,0.01,0.01,0.11,42,0.19,0.21,2.39,0.03,0.03,0.37,6.45,0.06,0.02,0.45,0.18,0.05,1.27,0.35,0,0.07,1.03,0,0.01,0.08,12.61,0.16,0.09,0.68,0.01,0,0.03,22.58,70,2.71,4.1,36,34,49.11,12.87,4.1,35,392.68,276.68,342.9,2.55,0.84,9.45,54,5.1,4.35,40.48,9.89,50.33,0.21,94.48,54.29,165.32,38.26,30.39,6.61,88.71,54,22.65,75,47,191.68,48.15,1.01,0.67,0.21,-0.13,0.05,1.81
Charleston Battery,30,0.87,0.5,0.73,0.42,1.93,1.28,0.09,1.04,0.03,0.27,13.87,17.63,2.73,0.8,4,4.57,0.3,10.87,0.33,0.23,3,0.01,0.01,0.07,40.27,0.2,0.16,1.57,0.04,0.03,0.32,4.87,0.07,0.02,0.83,0.1,0.03,1.19,0.7,0.07,0.06,0.6,0,0,0.04,16.63,0,0,0,0,0,0,18.07,84,2,3.03,31,43,34.02,8,2.67,28,550.7,461.7,502.37,2.48,0.86,10.23,54,5.53,4.7,45.47,9.37,45.19,0.24,91.63,60.03,159.6,40.07,37.4,7.5,82.4,52,25.93,69,59,185,54.6,0.73,0.81,0.16,0.18,0.06,1.95
FC Tulsa,34,0.74,0.56,0.53,0.47,1.62,1.37,0.1,0.93,0,0.21,13.88,15.86,1.74,1.24,3.56,3.76,0.21,9.29,0.44,0.43,4.59,0.01,0.01,0.11,43.38,0.21,0.26,2.44,0.04,0.05,0.47,5.15,0.09,0.03,0.62,0.15,0.04,1.05,0.59,0.09,0.06,0.85,0.01,0,0.05,15.79,0.06,0.08,0.68,0,0,0.03,21.85,67,2.79,4.21,33,33,50.51,11.24,3.29,31,344.65,231.76,291.74,3.35,0.87,11.06,52,5.76,5.29,35.53,8.08,49.25,0.23,100.41,55.29,170.65,36.85,34.41,6.65,91.68,54,25.76,75,44,200.47,45.94,1.15,0.71,0.37,-0.24,-0.01,1.98
Sacramento Republic,30,0.57,0.3,0.63,0.33,1.43,1.11,0.1,0.87,0.07,0.1,11.5,14.69,2.17,0.93,2.3,2.4,0.1,8.2,0.1,0.24,3.3,0,0.01,0.08,39.1,0,0.13,1.53,0,0.03,0.34,4.57,0.07,0.02,0.5,0.15,0.05,1.15,0.43,0.03,0.07,1,0,0,0.06,15.6,0,0.02,0.27,0,0,0.01,18.5,78,2.67,4.5,38,34,42.72,10.9,3.03,32,427.5,332.27,379.93,2.78,0.87,8.9,50,4.47,4.43,41.9,11.52,49.02,0.2,99.13,48.53,156.07,32.67,31.3,5.67,84.03,54,23.37,75,47,183.9,52.61,0.72,0.68,0.22,-0.2,0.05,1.48
Hartford Athletic,31,0.39,0.23,0.29,0.13,1.55,1.23,0.11,0.88,0.06,0.16,10.81,15.02,2.03,1.13,2.65,2.52,0.19,7.19,0.26,0.35,3.61,0.01,0.01,0.1,37.32,0.19,0.19,1.94,0.04,0.04,0.43,4.48,0,0.01,0.29,0,0.05,1,0.29,0.03,0.06,0.65,0,0,0.05,13.55,0.03,0.09,0.74,0,0,0.04,19,73,2.16,2.71,30,39,39.12,8.97,2.26,26,377.71,277.48,329.71,3.3,0.87,10.77,55,5.9,4.87,33.42,11.31,45.33,0.21,102.48,57.19,167,37.68,30.16,6.29,71.87,43,19.77,66,44,194.48,49.62,0.93,0.71,0.2,-0.11,0.01,1.74
Pittsburgh Riverhounds,34,0.15,0.2,0.03,0.15,0.97,1.02,0.1,0.74,0,0.09,10.65,15.17,1.56,0.71,2.29,2.65,0.09,7.65,0.12,0.28,3,0,0.01,0.07,44.79,0.09,0.16,1.62,0.02,0.03,0.31,5.15,0,0.01,0.18,0,0.05,1,0.18,0.03,0.1,1.09,0,0.01,0.07,15.32,0,0.01,0.12,0,0,0,24.15,73,1.91,3.47,32,30,47.81,10.91,2.59,25,474.65,346.74,421.09,2.7,0.84,9.47,55,5.24,4.24,43.03,11.36,47.6,0.2,96,57.5,165.26,39.15,35.74,8.79,84.09,51,24.26,68,50,213.26,52.99,0.74,0.65,0.22,-0.14,0.09,1.56
New Mexico United,33,0.12,-0.07,0.12,-0.1,1.48,1.13,0.11,0.94,0.09,0.21,10.61,17.11,2.09,0.73,3.09,3.67,0.21,8.73,0.21,0.19,1.88,0.01,0.01,0.05,36.09,0.18,0.13,1.33,0.05,0.03,0.33,4,0,0.01,0.21,0,0.07,1,0.21,0.03,0.04,0.3,0,0,0.02,14.06,0,0,0.03,0,0,0,17.82,84,2.09,3.85,24,36,31.21,6.24,1.18,13,535.33,448.88,487.67,2.33,0.88,13.06,54,7.06,6,43.88,8.37,46.69,0.24,84.39,56,149.61,37.76,34.12,7.55,74.76,50,21.24,62,60,182.3,51.72,0.46,0.86,0.12,0,-0.04,1.4
San Antonio,30,0.1,0.06,0.03,-0.02,1.3,0.98,0.08,0.71,0.07,0.23,11.53,17.59,1.77,0.57,2.37,3.33,0.23,7.93,0.33,0.26,3.6,0.01,0.01,0.09,40.73,0.07,0.11,1.77,0.02,0.03,0.43,4.07,0.03,0.02,0.6,0.06,0.04,1.06,0.57,0.23,0.12,1.2,0.01,0.01,0.07,17.1,0,0,0.03,0,0,0,19,80,1.57,2.47,36,41,31.61,8.87,2.17,26,439.63,353.27,390.03,2.53,0.82,9.47,46,4.4,5.07,34.4,9.03,48.66,0.22,84.47,50.7,143.8,33.17,28.87,5.7,70.83,49,19.7,68,53,178.67,48.94,0.6,0.7,0.21,-0.07,-0.02,1.42
El Paso Locomotive,31,0.03,-0.08,0.16,-0.03,1.52,1.18,0.09,0.87,0.06,0.03,12.68,17.37,2.26,1.06,3,3.94,0.06,9.16,0.42,0.31,3.52,0.01,0.01,0.08,45.71,0.26,0.13,1.71,0.05,0.03,0.35,4.87,0.03,0.03,0.65,0.05,0.06,1.05,0.61,0.13,0.11,1.03,0.01,0.01,0.05,19.68,0,0.03,0.13,0,0,0.01,20.55,83,2.06,3.58,37,37,36.41,8.68,2.32,28,479.03,396.65,423.87,2.69,0.86,12.42,55,6.87,5.55,39.23,10.93,43.03,0.24,96.06,59.32,159.55,40.87,31.97,6.23,69.61,44,18.97,59,54,190,50.18,0.66,0.75,0.16,0.01,-0.16,1.42
Rhode Island,33,0.03,0.13,-0.12,0.06,0.94,0.92,0.08,0.7,0.03,0.12,11.39,17.02,1.67,0.91,2.91,3.39,0.12,8.21,0.03,0.22,3.18,0,0.01,0.08,40.82,0,0.12,1.64,0,0.03,0.43,3.85,0,0.02,0.52,0,0.05,1,0.52,0.03,0.05,0.73,0,0,0.04,16.64,0,0.02,0.3,0,0,0.02,19.82,78,2.52,3.79,35,46,38.79,10,2.61,28,470.91,369.3,421.36,2.75,0.85,11.76,49,5.73,6.03,41.36,9.83,47.16,0.23,102.61,61.45,177.24,42.64,37.45,8.27,87.55,49,27.15,72,52,190.03,51.72,0.67,0.69,0.26,-0.03,-0.05,1.55
